season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2019,2019-03-08,1979,Chinese Super League,Chongqing Lifan,Beijing Guoan,37.51,54.42,0.2664,0.474,0.2596,1.19,1.67,28.0,64.3,0,4,0.54,3.51,0.88,2.61,0.0,3.68
2019,2019-03-09,1979,Chinese Super League,Shanghai SIPG,Jiangsu Suning FC,61.71,51.97,0.5581,0.1999,0.242,1.86,1.02,74.6,66.7,3,2,0.68,1.08,0.63,1.06,3.15,2.1
2019,2019-03-09,1979,Chinese Super League,Guangzhou RF,Dalian Aerbin,41.38,46.39,0.3904,0.3522,0.2574,1.58,1.49,20.4,34.7,3,3,3.25,2.41,2.12,2.11,3.15,3.15
2019,2019-03-10,1979,Chinese Super League,Wuhan Zall,Guizhou Renhe,32.47,37.21,0.4063,0.289,0.3047,1.24,1.0,44.2,32.4,1,0,0.94,0.82,1.32,1.7,1.05,0.0
2019,2019-03-10,1979,Chinese Super League,Shenzhen FC,Tianjin Quanujian,32.39,40.0,0.3809,0.3293,0.2899,1.3,1.18,36.1,25.0,2,1,2.27,0.72,2.24,0.62,1.68,1.05
2019,2019-03-10,1979,Chinese Super League,Shanghai Greenland,Hebei China Fortune FC,38.11,38.33,0.457,0.2805,0.2625,1.63,1.22,29.3,25.6,1,2,2.63,0.96,1.84,0.89,1.05,2.1
2019,2019-03-29,1979,Chinese Super League,Tianjin Teda,Guangzhou RF,36.76,41.8,0.4195,0.3287,0.2518,1.69,1.47,31.7,19.8,4,3,2.06,1.93,1.18,1.88,3.99,3.15
2019,2019-03-30,1979,Chinese Super League,Guizhou Renhe,Beijing Guoan,37.13,57.12,0.2458,0.485,0.2692,1.05,1.58,30.6,63.0,0,1,0.39,1.4,1.28,1.72,0.0,1.05
2019,2019-03-30,1979,Chinese Super League,Dalian Aerbin,Guangzhou Evergrande,46.28,65.04,0.2541,0.5064,0.2395,1.3,1.91,38.3,72.5,0,1,0.99,1.02,1.39,1.07,0.0,1.05
2019,2019-03-30,1979,Chinese Super League,Hebei China Fortune FC,Shanghai SIPG,38.2,60.91,0.2169,0.5498,0.2333,1.17,1.98,22.6,62.4,1,2,2.2,1.0,2.54,0.57,1.05,2.1
2019,2019-03-31,1979,Chinese Super League,Tianjin Quanujian,Shandong Luneng,38.57,48.48,0.3462,0.3812,0.2726,1.34,1.42,26.2,40.3,2,4,2.12,1.66,0.87,2.22,2.1,4.2
2019,2019-03-31,1979,Chinese Super League,Henan Jianye,Shanghai Greenland,35.03,38.27,0.4218,0.2968,0.2813,1.42,1.15,34.4,32.3,1,2,2.15,1.23,1.64,1.04,1.05,2.1
2019,2019-03-31,1979,Chinese Super League,Jiangsu Suning FC,Wuhan Zall,52.8,32.52,0.6789,0.1056,0.2155,1.96,0.62,55.3,31.2,2,1,1.69,0.58,1.32,1.06,2.1,1.05
2019,2019-03-31,1979,Chinese Super League,Chongqing Lifan,Shenzhen FC,35.06,33.78,0.4806,0.2448,0.2746,1.53,1.02,43.6,26.9,1,0,0.6,0.81,0.78,1.07,1.05,0.0
2019,2019-04-05,1979,Chinese Super League,Shenzhen FC,Shandong Luneng,34.03,49.54,0.289,0.4441,0.2669,1.22,1.57,28.0,48.6,1,1,1.04,1.55,1.05,2.11,1.05,1.05
2019,2019-04-05,1979,Chinese Super League,Shanghai SIPG,Chongqing Lifan,59.46,34.73,0.7527,0.0774,0.17,2.35,0.61,68.1,26.9,2,3,0.73,0.9,1.36,0.61,2.1,3.15
2019,2019-04-05,1979,Chinese Super League,Beijing Guoan,Jiangsu Suning FC,57.73,52.25,0.5071,0.2366,0.2563,1.72,1.1,71.5,72.0,3,0,1.93,0.45,1.52,1.32,2.63,0.0
2019,2019-04-06,1979,Chinese Super League,Tianjin Quanujian,Hebei China Fortune FC,37.78,39.68,0.4494,0.2856,0.265,1.6,1.22,36.8,22.2,0,0,0.39,0.38,0.72,1.16,0.0,0.0
2019,2019-04-06,1979,Chinese Super League,Guangzhou Evergrande,Guangzhou RF,64.89,41.87,0.7738,0.0812,0.1449,2.81,0.82,69.6,24.7,2,0,1.48,0.77,1.84,1.4,2.1,0.0
2019,2019-04-07,1979,Chinese Super League,Dalian Aerbin,Tianjin Teda,46.12,36.82,0.5537,0.2026,0.2437,1.84,1.02,24.8,24.9,1,2,1.09,0.92,1.5,0.96,1.05,2.1
2019,2019-04-07,1979,Chinese Super League,Shanghai Greenland,Guizhou Renhe,38.39,36.43,0.4632,0.2525,0.2843,1.44,0.99,35.4,38.3,5,1,1.61,0.66,1.72,1.01,5.0,1.05
2019,2019-04-12,1979,Chinese Super League,Guangzhou RF,Shanghai Greenland,42.08,40.12,0.4819,0.2805,0.2376,1.93,1.43,23.8,19.6,2,1,1.04,2.79,1.14,2.76,2.1,1.05
2019,2019-04-13,1979,Chinese Super League,Chongqing Lifan,Hebei China Fortune FC,36.53,40.14,0.4184,0.3046,0.277,1.45,1.2,23.4,21.1,2,1,0.65,1.64,1.34,1.59,2.1,1.05
2019,2019-04-13,1979,Chinese Super League,Shenzhen FC,Jiangsu Suning FC,33.73,51.29,0.2696,0.4522,0.2782,1.08,1.48,29.8,46.4,0,2,0.93,1.24,1.25,1.11,0.0,2.1
2019,2019-04-13,1979,Chinese Super League,Tianjin Teda,Tianjin Quanujian,37.78,37.15,0.4458,0.2805,0.2737,1.51,1.15,24.2,38.1,1,1,1.96,0.65,1.64,0.69,1.05,1.05
2019,2019-04-14,1979,Chinese Super League,Guizhou Renhe,Guangzhou Evergrande,34.95,64.51,0.1696,0.5932,0.2372,0.89,1.88,41.3,79.8,2,1,0.69,2.51,1.28,0.81,1.68,1.05
2019,2019-04-14,1979,Chinese Super League,Shandong Luneng,Dalian Aerbin,49.85,45.08,0.5282,0.2262,0.2455,1.83,1.12,50.8,22.5,0,1,1.12,0.33,2.92,0.64,0.0,1.05
2019,2019-04-14,1979,Chinese Super League,Beijing Guoan,Henan Jianye,58.62,34.95,0.7227,0.0879,0.1894,2.17,0.6,73.2,32.1,2,1,2.69,1.2,1.95,0.93,2.1,0.84
2019,2019-04-14,1979,Chinese Super League,Shanghai SIPG,Wuhan Zall,57.59,33.03,0.7375,0.0833,0.1792,2.27,0.62,72.3,34.1,2,1,2.44,0.37,2.64,0.99,2.1,1.05
2019,2019-04-19,1979,Chinese Super League,Guangzhou Evergrande,Shandong Luneng,63.83,49.89,0.626,0.1587,0.2152,2.12,0.96,78.1,50.9,2,1,1.3,0.59,1.14,1.2,2.1,1.05
2019,2019-04-19,1979,Chinese Super League,Tianjin Quanujian,Shanghai SIPG,36.77,57.68,0.2442,0.5047,0.2511,1.16,1.77,36.5,61.1,0,0,0.56,1.66,0.51,1.27,0.0,0.0
2019,2019-04-20,1979,Chinese Super League,Guizhou Renhe,Shenzhen FC,35.61,33.16,0.4807,0.2245,0.2948,1.38,0.85,44.2,36.5,2,2,1.32,1.17,1.35,0.99,2.1,2.1
2019,2019-04-20,1979,Chinese Super League,Henan Jianye,Tianjin Teda,35.28,38.14,0.4428,0.2798,0.2774,1.48,1.12,42.6,21.5,2,3,1.53,1.54,1.48,1.38,2.1,3.15
2019,2019-04-20,1979,Chinese Super League,Hebei China Fortune FC,Beijing Guoan,40.5,58.36,0.2552,0.4926,0.2522,1.2,1.76,23.1,64.2,0,1,1.35,1.49,2.09,0.98,0.0,1.05
2019,2019-04-21,1979,Chinese Super League,Dalian Aerbin,Chongqing Lifan,44.88,36.2,0.5453,0.1993,0.2554,1.72,0.94,20.7,18.3,1,1,1.59,1.71,1.29,0.88,1.05,1.05
2019,2019-04-21,1979,Chinese Super League,Jiangsu Suning FC,Guangzhou RF,51.85,40.81,0.611,0.1721,0.2169,2.13,1.04,52.7,19.2,5,1,1.16,0.67,1.75,0.6,4.78,1.05
2019,2019-04-21,1979,Chinese Super League,Wuhan Zall,Shanghai Greenland,33.0,41.37,0.3883,0.336,0.2756,1.41,1.3,41.6,19.5,1,1,1.03,1.28,0.82,1.37,1.05,1.05
2019,2019-04-26,1979,Chinese Super League,Guangzhou RF,Shenzhen FC,39.95,33.6,0.5187,0.2369,0.2443,1.85,1.18,30.1,34.2,3,1,0.58,1.6,1.47,1.64,2.63,1.05
2019,2019-04-27,1979,Chinese Super League,Hebei China Fortune FC,Guizhou Renhe,40.74,35.22,0.4999,0.2242,0.2759,1.53,0.93,32.5,38.7,1,1,1.44,0.35,4.16,0.2,0.84,1.05
2019,2019-04-27,1979,Chinese Super League,Shanghai Greenland,Tianjin Quanujian,41.74,36.18,0.4907,0.2419,0.2674,1.6,1.05,22.6,41.7,2,3,1.29,0.5,1.55,0.76,2.1,2.52
2019,2019-04-27,1979,Chinese Super League,Henan Jianye,Jiangsu Suning FC,34.71,52.7,0.2614,0.4662,0.2724,1.09,1.54,41.4,64.0,2,1,1.0,1.21,0.62,1.81,2.1,1.05
2019,2019-04-28,1979,Chinese Super League,Tianjin Teda,Shanghai SIPG,38.83,58.01,0.2457,0.5099,0.2444,1.22,1.85,28.2,66.9,0,2,0.71,2.03,1.18,1.79,0.0,1.58
2019,2019-04-28,1979,Chinese Super League,Chongqing Lifan,Guangzhou Evergrande,36.95,63.34,0.1825,0.5851,0.2323,0.99,1.95,20.7,71.4,0,1,0.53,2.38,0.73,1.47,0.0,1.05
2019,2019-04-28,1979,Chinese Super League,Beijing Guoan,Dalian Aerbin,58.0,44.08,0.6424,0.1401,0.2174,2.04,0.83,74.1,20.5,4,1,3.03,0.75,1.27,1.2,4.2,1.05
2019,2019-04-28,1979,Chinese Super League,Shandong Luneng,Wuhan Zall,50.27,32.62,0.6301,0.141,0.2289,1.92,0.77,35.7,38.9,3,0,1.18,1.18,0.97,0.55,2.63,0.0
2019,2019-05-04,1979,Chinese Super League,Wuhan Zall,Tianjin Teda,32.64,37.91,0.4264,0.291,0.2826,1.42,1.12,49.4,17.6,1,1,1.09,0.43,0.91,0.62,1.05,1.05
2019,2019-05-04,1979,Chinese Super League,Shanghai SIPG,Guangzhou RF,58.82,39.35,0.7036,0.1188,0.1777,2.51,0.94,62.4,17.1,2,0,1.83,0.36,1.09,0.81,2.0,0.0
2019,2019-05-04,1979,Chinese Super League,Shandong Luneng,Hebei China Fortune FC,50.18,41.94,0.5508,0.203,0.2462,1.82,1.01,38.0,24.6,2,0,2.53,0.74,1.92,1.33,2.1,0.0
2019,2019-05-04,1979,Chinese Super League,Guangzhou Evergrande,Beijing Guoan,63.98,58.88,0.5137,0.2382,0.2481,1.81,1.16,100.0,100.0,0,1,1.37,1.08,2.49,1.16,0.0,1.05
2019,2019-05-05,1979,Chinese Super League,Guizhou Renhe,Henan Jianye,34.13,34.99,0.4485,0.2611,0.2904,1.39,0.99,49.3,40.9,1,2,1.99,1.21,1.41,1.05,1.05,2.1
2019,2019-05-05,1979,Chinese Super League,Shenzhen FC,Shanghai Greenland,34.14,41.45,0.3945,0.3303,0.2752,1.43,1.28,40.5,24.3,2,1,2.66,1.73,2.37,0.82,2.1,1.05
2019,2019-05-05,1979,Chinese Super League,Tianjin Quanujian,Chongqing Lifan,36.47,36.11,0.4717,0.2429,0.2854,1.44,0.95,36.9,17.8,3,3,1.67,3.16,0.99,2.13,3.15,3.15
2019,2019-05-05,1979,Chinese Super League,Jiangsu Suning FC,Dalian Aerbin,52.4,43.39,0.5782,0.1777,0.2441,1.82,0.9,50.2,16.9,1,1,0.94,1.42,1.07,0.82,1.05,1.05
2019,2019-05-10,1979,Chinese Super League,Tianjin Teda,Shanghai Greenland,37.76,40.17,0.4246,0.3136,0.2617,1.6,1.34,18.6,28.4,1,1,1.06,0.38,0.89,0.43,1.05,1.05
2019,2019-05-11,1979,Chinese Super League,Dalian Aerbin,Wuhan Zall,44.3,32.72,0.5496,0.1873,0.263,1.64,0.84,20.6,41.9,1,2,1.4,1.16,1.55,0.58,1.05,2.1
2019,2019-05-11,1979,Chinese Super League,Chongqing Lifan,Guizhou Renhe,37.72,33.77,0.469,0.2509,0.2801,1.48,1.01,22.3,46.2,2,0,1.03,0.71,1.41,0.6,1.73,0.0
2019,2019-05-11,1979,Chinese Super League,Hebei China Fortune FC,Henan Jianye,41.12,35.4,0.5135,0.224,0.2625,1.65,1.0,32.2,32.0,2,3,0.92,1.78,1.86,0.95,2.1,3.15
2019,2019-05-12,1979,Chinese Super League,Tianjin Quanujian,Guangzhou RF,35.09,39.13,0.4332,0.3118,0.255,1.68,1.39,43.6,25.9,1,2,0.64,1.1,1.71,1.43,1.05,2.1
2019,2019-05-12,1979,Chinese Super League,Guangzhou Evergrande,Jiangsu Suning FC,63.45,51.4,0.5775,0.1786,0.2439,1.82,0.9,70.7,67.5,2,2,2.45,1.62,1.84,1.27,2.1,2.1
2019,2019-05-12,1979,Chinese Super League,Beijing Guoan,Shenzhen FC,59.26,35.41,0.7423,0.0798,0.1779,2.26,0.59,86.1,24.2,3,0,2.79,0.05,1.73,0.15,3.15,0.0
2019,2019-05-12,1979,Chinese Super League,Shanghai SIPG,Shandong Luneng,58.81,51.01,0.5481,0.2073,0.2446,1.84,1.04,78.6,66.4,2,1,2.58,0.9,1.69,1.78,2.1,1.05
2019,2019-05-17,1979,Chinese Super League,Henan Jianye,Shanghai SIPG,36.58,58.97,0.2196,0.5336,0.2468,1.08,1.82,18.4,55.2,0,1,0.37,1.09,1.64,0.85,0.0,1.05
2019,2019-05-17,1979,Chinese Super League,Beijing Guoan,Tianjin Quanujian,60.51,34.44,0.7922,0.0552,0.1526,2.41,0.48,90.0,39.8,2,1,1.7,0.69,2.46,0.33,2.07,1.05
2019,2019-05-17,1979,Chinese Super League,Wuhan Zall,Guangzhou Evergrande,33.66,62.99,0.1769,0.5829,0.2402,0.91,1.86,31.7,58.6,2,3,2.7,2.1,1.54,1.8,2.1,2.85
2019,2019-05-17,1979,Chinese Super League,Shanghai Greenland,Shandong Luneng,40.05,50.96,0.3429,0.3967,0.2604,1.44,1.56,29.4,34.8,1,3,1.26,1.59,2.23,2.88,1.05,3.03
2019,2019-05-18,1979,Chinese Super League,Guangzhou RF,Guizhou Renhe,39.8,33.29,0.4952,0.248,0.2568,1.71,1.14,19.4,49.1,3,1,1.92,0.57,1.76,1.14,3.1,1.05
2019,2019-05-18,1979,Chinese Super League,Jiangsu Suning FC,Chongqing Lifan,52.21,38.18,0.6195,0.1478,0.2327,1.89,0.79,41.2,16.4,3,1,2.07,1.05,1.8,1.04,2.1,1.05
2019,2019-05-19,1979,Chinese Super League,Tianjin Teda,Hebei China Fortune FC,37.76,39.99,0.4178,0.3091,0.2731,1.48,1.24,18.6,34.4,2,0,1.07,0.56,0.85,0.79,1.96,0.0
2019,2019-05-19,1979,Chinese Super League,Shenzhen FC,Dalian Aerbin,34.16,43.27,0.3721,0.3465,0.2814,1.34,1.28,34.1,21.0,1,2,0.68,1.66,1.35,1.2,1.05,2.1
2019,2019-05-24,1979,Chinese Super League,Chongqing Lifan,Henan Jianye,38.33,36.49,0.4656,0.2606,0.2738,1.53,1.08,13.0,19.5,0,0,1.1,0.21,1.1,0.91,0.0,0.0
2019,2019-05-25,1979,Chinese Super League,Guizhou Renhe,Tianjin Teda,32.66,38.29,0.4315,0.277,0.2915,1.36,1.03,53.3,9.6,2,1,1.35,2.13,0.69,1.25,1.89,1.05
2019,2019-05-25,1979,Chinese Super League,Hebei China Fortune FC,Jiangsu Suning FC,39.35,52.11,0.3255,0.4016,0.2729,1.29,1.46,42.6,45.7,3,2,1.98,1.52,1.66,1.83,3.15,2.1
2019,2019-05-25,1979,Chinese Super League,Wuhan Zall,Tianjin Quanujian,35.1,34.58,0.4513,0.2639,0.2848,1.43,1.03,40.7,46.0,2,1,,,,,,
2019,2019-05-26,1979,Chinese Super League,Dalian Aerbin,Shanghai Greenland,44.02,39.28,0.4942,0.2527,0.2531,1.75,1.18,18.5,34.9,1,0,0.8,0.6,0.86,1.23,1.05,0.0
2019,2019-05-26,1979,Chinese Super League,Guangzhou Evergrande,Shenzhen FC,61.83,33.47,0.793,0.0572,0.1498,2.47,0.51,59.9,33.6,1,0,1.09,0.44,1.26,0.97,1.05,0.0
2019,2019-05-26,1979,Chinese Super League,Shandong Luneng,Guangzhou RF,51.89,40.53,0.6076,0.1801,0.2123,2.21,1.13,42.6,13.3,3,1,1.69,0.44,2.74,0.85,3.15,1.05
2019,2019-05-26,1979,Chinese Super League,Shanghai SIPG,Beijing Guoan,58.84,60.35,0.4419,0.2928,0.2652,1.58,1.24,100.0,100.0,2,1,1.12,1.14,1.35,2.36,2.1,1.05
2019,2019-06-01,1979,Chinese Super League,Shandong Luneng,Jiangsu Suning FC,52.68,51.35,0.4763,0.2674,0.2563,1.7,1.22,59.6,50.1,1,1,1.0,0.25,1.2,0.65,1.05,1.05
2019,2019-06-01,1979,Chinese Super League,Wuhan Zall,Shenzhen FC,35.77,34.06,0.4614,0.2507,0.288,1.42,0.97,35.0,40.7,2,0,1.29,1.09,0.91,1.02,1.58,0.0
2019,2019-06-01,1979,Chinese Super League,Shanghai Greenland,Chongqing Lifan,39.49,38.16,0.4931,0.2435,0.2634,1.64,1.08,42.2,12.0,0,0,0.7,0.12,1.06,0.31,0.0,0.0
2019,2019-06-01,1979,Chinese Super League,Guizhou Renhe,Tianjin Quanujian,32.33,33.95,0.4355,0.2762,0.2883,1.39,1.05,61.9,59.3,2,0,1.65,2.39,1.4,2.31,2.1,0.0
2019,2019-06-01,1979,Chinese Super League,Guangzhou RF,Hebei China Fortune FC,39.73,40.33,0.4352,0.3161,0.2486,1.75,1.46,15.6,33.4,2,2,1.09,0.92,2.58,1.6,2.1,2.1
2019,2019-06-02,1979,Chinese Super League,Dalian Aerbin,Shanghai SIPG,43.63,58.51,0.2632,0.4719,0.2649,1.14,1.62,10.5,71.6,1,2,0.29,1.34,1.05,1.52,1.05,2.1
2019,2019-06-02,1979,Chinese Super League,Henan Jianye,Guangzhou Evergrande,36.51,60.98,0.2071,0.5475,0.2454,1.03,1.83,20.3,56.3,2,5,0.75,1.54,1.89,1.83,2.1,4.76
2019,2019-06-02,1979,Chinese Super League,Tianjin Teda,Beijing Guoan,38.67,60.74,0.1974,0.5601,0.2425,1.0,1.85,11.2,86.6,1,2,1.11,1.41,1.32,2.03,1.05,2.1
2019,2019-06-08,1979,Chinese Super League,Wuhan Zall,Henan Jianye,35.86,36.47,0.4442,0.2705,0.2853,1.42,1.05,24.4,24.7,0,0,0.32,0.16,1.45,1.03,0.0,0.0
2019,2019-06-14,1979,Chinese Super League,Beijing Guoan,Shanghai Greenland,60.86,39.41,0.7158,0.0975,0.1867,2.25,0.69,94.0,40.8,2,1,1.47,0.66,0.71,1.15,2.1,1.05
2019,2019-06-14,1979,Chinese Super League,Chongqing Lifan,Shandong Luneng,38.03,52.55,0.2935,0.4303,0.2762,1.17,1.47,11.2,38.2,1,1,1.19,1.5,1.21,1.0,1.05,1.05
2019,2019-06-14,1979,Chinese Super League,Shanghai SIPG,Guangzhou Evergrande,59.22,61.29,0.4551,0.2874,0.2575,1.68,1.28,90.8,75.5,0,2,0.9,0.59,1.35,0.51,0.0,1.58
2019,2019-06-15,1979,Chinese Super League,Hebei China Fortune FC,Dalian Aerbin,40.31,42.83,0.4475,0.2836,0.269,1.56,1.19,37.8,13.9,1,0,1.15,0.31,1.74,0.72,1.05,0.0
2019,2019-06-15,1979,Chinese Super League,Guangzhou RF,Wuhan Zall,39.77,35.58,0.4896,0.2539,0.2565,1.71,1.16,14.7,21.2,3,4,3.57,2.21,2.09,1.55,3.15,4.2
2019,2019-06-16,1979,Chinese Super League,Tianjin Quanujian,Henan Jianye,34.17,36.62,0.4523,0.2675,0.2802,1.47,1.06,60.0,29.0,1,1,1.51,1.07,1.0,0.7,1.05,1.05
2019,2019-06-16,1979,Chinese Super League,Shenzhen FC,Tianjin Teda,33.94,38.58,0.4259,0.2847,0.2894,1.37,1.07,42.5,16.9,0,0,0.79,1.28,1.09,1.24,0.0,0.0
2019,2019-06-16,1979,Chinese Super League,Jiangsu Suning FC,Guizhou Renhe,51.23,32.17,0.6274,0.1401,0.2325,1.88,0.75,24.6,47.0,4,1,1.86,0.86,2.13,0.65,3.15,1.05
2019,2019-06-21,1979,Chinese Super League,Jiangsu Suning FC,Shanghai Greenland,51.52,40.24,0.5594,0.194,0.2466,1.81,0.96,28.1,40.0,0,1,0.97,0.87,1.68,0.49,0.0,1.05
2019,2019-06-22,1979,Chinese Super League,Beijing Guoan,Guangzhou RF,59.95,39.43,0.7369,0.0999,0.1632,2.63,0.88,80.1,15.4,3,2,1.13,2.61,2.99,1.23,2.94,2.1
2019,2019-06-22,1979,Chinese Super League,Tianjin Teda,Shandong Luneng,39.09,52.37,0.3083,0.4176,0.2741,1.23,1.47,12.9,34.9,2,1,0.9,0.86,0.64,1.48,2.1,1.05
2019,2019-06-22,1979,Chinese Super League,Henan Jianye,Shenzhen FC,36.66,33.37,0.4688,0.2371,0.2941,1.38,0.89,36.2,49.0,1,0,0.98,0.05,1.19,0.44,1.05,0.0
2019,2019-06-22,1979,Chinese Super League,Shanghai SIPG,Guizhou Renhe,58.49,31.98,0.7546,0.0679,0.1775,2.19,0.49,53.5,51.3,3,0,0.96,0.48,1.95,0.51,3.15,0.0
2019,2019-06-22,1979,Chinese Super League,Guangzhou Evergrande,Hebei China Fortune FC,61.64,41.0,0.6986,0.11,0.1913,2.26,0.77,63.3,22.4,2,1,1.82,1.21,1.54,2.26,2.1,1.05
2019,2019-06-23,1979,Chinese Super League,Dalian Aerbin,Tianjin Quanujian,42.0,34.1,0.5055,0.2262,0.2683,1.6,0.98,26.6,60.4,2,2,2.23,0.69,1.6,0.91,2.1,2.1
2019,2019-06-23,1979,Chinese Super League,Wuhan Zall,Chongqing Lifan,36.09,38.15,0.4316,0.2766,0.2918,1.36,1.03,16.1,10.4,2,3,0.82,1.17,1.23,0.77,2.1,2.63
2019,2019-06-29,1979,Chinese Super League,Guangzhou RF,Henan Jianye,40.8,37.12,0.4926,0.2593,0.2481,1.8,1.25,19.8,15.8,2,0,1.78,0.24,1.24,0.68,2.1,0.0
2019,2019-06-29,1979,Chinese Super League,Hebei China Fortune FC,Wuhan Zall,42.23,35.6,0.5342,0.2096,0.2562,1.72,0.98,31.6,18.6,0,2,0.71,1.73,2.68,0.92,0.0,2.1
2019,2019-06-29,1979,Chinese Super League,Chongqing Lifan,Tianjin Teda,38.69,39.29,0.4435,0.2664,0.29,1.38,1.01,5.3,5.1,1,0,0.7,0.85,0.96,1.54,1.05,0.0
2019,2019-06-29,1979,Chinese Super League,Guizhou Renhe,Dalian Aerbin,31.67,41.97,0.3753,0.3356,0.2891,1.29,1.2,58.7,24.5,1,3,1.47,2.94,0.95,2.6,1.05,3.15
2019,2019-06-30,1979,Chinese Super League,Tianjin Quanujian,Jiangsu Suning FC,34.19,50.61,0.3208,0.4072,0.272,1.28,1.48,51.5,16.2,2,2,1.06,1.77,0.61,1.4,2.1,2.1
2019,2019-06-30,1979,Chinese Super League,Shenzhen FC,Shanghai SIPG,32.83,58.76,0.2121,0.5162,0.2718,0.91,1.57,51.5,56.9,0,1,0.76,1.86,1.22,0.9,0.0,1.05
2019,2019-06-30,1979,Chinese Super League,Shandong Luneng,Beijing Guoan,52.1,58.81,0.3406,0.3953,0.2641,1.4,1.52,26.8,87.3,2,0,0.98,2.01,0.56,1.79,2.1,0.0
2019,2019-07-01,1979,Chinese Super League,Shanghai Greenland,Guangzhou Evergrande,40.95,60.52,0.2449,0.5042,0.251,1.17,1.77,26.1,64.8,0,3,0.66,1.49,0.95,0.92,0.0,3.15
2019,2019-07-05,1979,Chinese Super League,Tianjin Quanujian,Guangzhou Evergrande,34.06,61.51,0.1903,0.581,0.2287,1.06,2.01,53.9,77.6,1,3,0.81,3.05,0.85,1.52,1.05,2.63
2019,2019-07-06,1979,Chinese Super League,Guangzhou RF,Chongqing Lifan,41.74,38.32,0.491,0.2592,0.2498,1.78,1.24,8.5,2.2,4,2,3.04,1.94,1.68,1.49,3.68,2.1
2019,2019-07-06,1979,Chinese Super League,Beijing Guoan,Wuhan Zall,58.96,36.86,0.7451,0.0784,0.1765,2.27,0.59,89.5,4.2,3,0,2.45,0.43,2.24,0.8,3.02,0.0
2019,2019-07-06,1979,Chinese Super League,Shanghai SIPG,Shanghai Greenland,58.83,39.82,0.6727,0.1106,0.2167,1.96,0.64,59.0,27.5,3,1,2.63,1.21,1.29,0.78,3.15,1.05
2019,2019-07-07,1979,Chinese Super League,Tianjin Teda,Jiangsu Suning FC,39.57,50.79,0.3437,0.3712,0.285,1.25,1.31,6.5,6.6,2,1,0.36,0.81,0.72,1.22,2.1,1.05
2019,2019-07-07,1979,Chinese Super League,Hebei China Fortune FC,Shenzhen FC,40.92,32.66,0.5218,0.2053,0.2729,1.56,0.87,46.7,59.3,1,1,2.32,0.33,2.05,0.76,1.05,1.05
2019,2019-07-07,1979,Chinese Super League,Guizhou Renhe,Shandong Luneng,30.08,51.84,0.2779,0.4555,0.2667,1.18,1.59,55.7,12.6,0,2,0.65,1.38,0.9,1.19,0.0,1.66
2019,2019-07-07,1979,Chinese Super League,Dalian Aerbin,Henan Jianye,43.89,36.18,0.5206,0.2058,0.2737,1.55,0.87,9.4,15.3,3,1,2.57,2.06,1.71,2.12,3.15,1.05
